#Gene_A	Gene_B
853434	856675
851152	855903
851201	852749
854497	856275
855269	856687
852199	855386
852016	852755
853303	855107
851000	851061
851513	853133
855545	856862
855143	856420
854373	855380
853433	856314
853569	855224
853811	856848
29844	853599
851407	851407
852892	855450
850326	852193
854373	854979
853106	856090
854945	855107
852467	855224
852697	854297
850843	851306
851935	853957
851394	855013
852789	852809
851670	855259
853298	853639
851988	854691
851212	851366
852825	854997
854150	855710
850561	855841
851064	851314
850633	855611
851212	851976
854443	90060
856655	856815
856095	856449
852547	856612
854166	856449
852755	853630
850298	851049
854156	855273
853453	856722
853649	855155
850420	855224
1466445	855821
839323	854016
855240	856351
10498	851676
854895	856382
850397	854673
851150	851212
852216	852697
850683	853252
850568	855503
854373	856714
851676	853167
850329	856743
851332	856351
852403	853732
851212	856365
853165	853811
851752	854151
850982	854881
853388	854076
852403	855446
850839	854667
852755	853274
851771	856044
851985	852193
852393	854737
851698	852265
850887	852805
851394	856103
855512	855570
850905	856895
852471	856076
852810	856208
852703	855512
852095	853783
853456	856218
851499	853587
852547	852979
852809	854835
854991	855984
850647	853250
852972	855158
853465	856422
852695	855364
853191	856418
851478	855466
854713	855478
852661	855783
855158	855669
851222	854294
851153	851765
851212	853997
850397	856267
852493	854303
854886	856886
852122	853327
850333	851869
850656	853244
850695	851394
852975	856155
855609	856290
850973	854697
856012	856449
854745	855245
850552	850647
854131	855466
852451	855898
855470	855489
850320	852179
851159	856021
850554	852523
854373	856475
851627	853712
850864	854791
851786	854373
850636	856670
851756	855217
852415	856607
852592	855060
851817	854627
852697	855683
850782	852230
851171	853434
851461	856900
851163	852700
850843	855006
852871	856461
853064	855208
855691	856741
852547	852579
851212	854329
856449	856870
851259	855306
851544	856599
850590	856267
851095	853728
851429	853744
853133	855275
855972	856351
853503	855643
855830	856409
852322	855350
852122	854780
852765	856680
851111	856689
851532	853729
855161	856320
850646	851394
854780	856873
854068	855596
850551	856012
856743	947077
851813	854868
80149	855428
850523	853529
852547	853522
850411	852127
850551	854901
850521	856755
850425	856155
854284	854735
856320	856719
853882	854373
852250	856275
855512	856744
851889	855568
7316	854229
851996	856864
851394	855404
852697	854488
851394	856429
1466530	850320
851559	852726
852547	853455
853243	854796
851212	855336
853365	856923
852852	856895
854957	856716
850893	853682
851273	852980
853318	856853
850609	852697
855841	856429
851212	854165
852728	855089
850540	851143
855466	856044
851436	851482
854929	855335
854428	856359
851326	851743
854373	855114
853133	855428
856398	856716
851347	853585
851259	851937
852348	855636
850878	856742
853892	856263
852697	852872
852260	854957
851399	853148
850909	855897
854119	854119
851030	856825
854827	855119
851472	856574
850504	853836
855884	856352
23641	850298
852296	853347
855788	856159
854954	855263
850694	851394
54850	851928
196483	854301
852540	855512
852467	855512
851240	856012
851625	852248
852774	854957
851008	855512
850295	853167
852834	855640
850329	854372
854796	855622
850941	855883
851087	856279
855217	855639
852296	854657
850636	853857
850530	9454
851988	852702
851482	853311
852284	853335
851169	855599
855512	855560
850686	850686
854673	856063
850655	853335
851594	851768
853433	856754
852283	856704
852222	854162
851259	855540
851394	854038
852035	852755
850695	852026
851554	852611
850636	856517
856024	9164909
851369	853146
850389	850620
854372	856819
854210	854386
851212	854937
854697	855678
851212	856055
851944	856155
851531	854363
851069	854778
856422	856465
853353	856311
851310	851408
3799976	852688
852295	852673
852425	853870
851329	852419
852021	854409
851212	851839
853811	855645
856422	856597
855329	855568
852697	853766
852276	852295
852295	854912
852806	853803
851212	851925
850375	853313
853747	855356
851504	856146
852385	856764
851607	855836
853135	854740
851450	852271
855701	856291
852087	853434
853922	854248
850320	854855
851161	851212
852487	853796
851532	855512
853979	856744
851462	851539
852564	875
850763	853781
853320	856575
851318	855952
3064	850633
852457	854474
854541	855606
280993	853861
853587	856895
852283	852352
851394	852361
850888	854973
851152	853537
851023	855963
851266	851964
852695	856517
853369	855224
850320	856131
854657	854691
850784	855957
850445	856181
854776	855408
850771	853434
850624	852646
851990	854776
850787	851394
852406	855450
852518	854678
853805	854073
851907	852351
854150	856019
850647	853601
852757	855270
851394	853789
851369	856261
853529	856794
854428	855543
851399	853760
853878	855892
851377	851394
852068	853839
851212	852069
853955	855836
851212	856801
853861	855344
855466	856134
851963	854780
852724	855032
851212	851876
854778	855224
852122	852865
853864	854881
852397	852412
850580	852395
852295	852996
852995	852995
855357	855357
852501	856155
850620	853503
853434	854301
850764	856352
850656	855701
854669	854903
851073	851369
851415	853840
851660	856449
851447	854138
850549	853587
850969	854543
851482	853416
852282	854258
851614	854431
852468	855567
850652	852457
852127	853923
852755	855560
850695	852854
852825	853785
852440	853071
850511	854333
850298	853526
852439	852853
850764	854937
850384	852294
851988	855705
855060	855656
851212	855769
853807	856891
851585	852709
850396	851394
851304	856888
851471	855925
852199	854265
855787	856784
850964	856351
852248	856546
856052	856320
850837	9164967
856422	856615
850499	853311
850320	854105
855039	856384
850807	856895
851383	851399
852202	856824
853865	856320
852885	853335
852639	853318
850934	853109
853858	855700
850754	851162
850962	853522
850656	852295
853934	854487
850869	852697
851212	851482
850538	850933
850741	851810
851102	854882
853090	855843
853099	853699
852755	852904
851212	851889
853886	855675
850747	855259
856848	856848
854376	855700
855245	856076
22827	855332
852255	855088
850737	854673
851394	856375
851204	852680
852439	855962
852088	856301
850825	856870
853364	856490
850538	853477
850498	854085
23641	851388
851700	854820
851415	855097
399088	853922
854130	854373
853747	856569
852294	853438
851369	855875
851266	852173
851162	856351
855897	856831
855228	856482
850397	855143
852697	856825
850982	855466
850551	856463
851314	90993
851544	856715
855049	855757
854152	9164938
853133	855922
853347	856899
854796	856371
852995	854999
851040	856768
853906	855456
852740	853866
852732	854085
850329	852564
851030	853853
851399	856494
850453	856453
850320	851244
855841	856275
851650	852697
852547	854163
851482	852624
850554	856805
851882	856695
850375	856081
853956	854489
2801	853526
852921	855592
851030	855891
853167	854227
852251	856496
853204	855765
852294	856023
853138	855953
850733	850782
855466	856307
852830	855180
853315	854734
851029	852547
850320	856824
851212	852690
850304	850688
853434	854094
852486	856216
851212	852112
850799	854162
852865	853011
851000	852757
852765	853170
851435	854373
854310	854373
854999	855470
851437	851437
852457	855661
852248	855727
850630	855836
851160	852215
850419	854912
850633	853365
852255	856848
854359	856155
850494	852821
852755	855876
854373	855940
850435	855730
855496	856089
854503	854946
852697	852710
851366	854270
851359	852522
851171	851458
851369	853967
851467	852755
850737	855158
851205	855075
853960	855466
853273	854583
326601	856134
852922	855730
850879	854249
851942	854614
850688	851988
853781	854382
851259	856602
850554	852191
850445	852386
852499	853283
851752	853859
851933	855960
851408	854435
851440	851797
851531	856919
850352	850647
851427	854118
850384	852295
851752	852107
852547	852598
850760	854345
855533	856577
852755	855529
854417	854417
851898	852513
850675	852547
852068	854903
852673	856680
855838	856320
855136	855741
852068	853922
55611	851676
853227	853681
850633	854373
851212	854208
852457	853071
851289	856854
855081	856589
850506	853281
851212	854159
853335	855509
855568	856482
851151	852785
851832	852697
850839	9164870
851125	855118
851771	853159
220082	850998
850298	855118
855473	856226
13393614	851394
851394	852876
3308	854168
851789	852695
850737	852549
850358	855512
850498	854503
852547	856722
853434	853581
852127	852800
851284	852127
852493	854822
851969	852870
851964	852364
850554	852212
853243	856337
852294	852702
854525	856304
851919	852453
852456	855322
852659	854418
851810	852377
852742	856607
851394	851661
850884	851394
855428	856848
850767	850941
79959	855362
853157	855700
852893	855512
856155	9164990
850600	852697
851493	853347
850298	851037
855335	856449
853503	853733
852982	855700
852876	852931
854910	855754
850538	855501
851431	855567
855418	855512
854152	854162
851531	852416
853917	855143
856543	856646
851691	856895
853875	853886
850623	851548
851066	852547
851676	851928
852087	854856
852295	854162
850685	853709
851607	855512
851903	856828
852555	852766
854222	855119
851482	852187
852456	853348
851394	852241
851212	855776
852008	852008
851964	854152
853525	853777
853632	854076
853275	853697
851729	856048
854353	855047
854381	856656
850686	855224
850897	855640
852755	853873
853465	855900
850505	850713
850951	853855
852495	854258
852088	855449
850637	851399
854373	855023
850647	853777
855429	855830
855544	856384
850734	854656
854944	855478
852796	855080
851879	852695
855201	855524
854206	855466
851180	852457
850647	856068
850968	856558
853632	853683
850647	852000
851482	851797
850764	856604
853266	853551
853133	854794
850521	855067
851335	855844
851164	853688
851614	851614
855841	856926
852122	856388
850508	850785
853457	856537
850647	851935
851781	855044
853082	856505
855970	856738
851771	851824
