Gene_A	Gene_B
2539047	2543540
2540855	2542531
2542169	2543583
2539560	2541649
2540679	2542727
2539676	2539958
2541087	2541655
2541772	2542636
2543007	2543426
2538951	2539109
2540778	2542094
2540396	2540396
2539366	2543254
2539248	2542674
2539541	2542358
2541216	2543580
2539908	2542655
2539958	2543151
2543058	2543352
2541342	2542304
2539970	3361462
2540291	2540400
2539639	2540655
2540191	2540939
2539562	2541620
2539155	2539200
2539701	2540711
2540737	2543281
2540700	2541916
2539481	2542965
2542517	2543281
2540575	2542744
2542461	2542690
2540014	2543058
2539862	2540128
2541746	2543544
2539560	2540749
2539706	2542067
2541213	2542833
2539047	2541344
2540560	2540560
2540330	2541185
2539733	2542204
2540398	2541910
2539816	2543254
2538951	2539064
2540499	2540927
2541943	2543455
2541506	2541873
2540408	2540408
2541201	3361562
2539956	2542245
2539658	2543290
2539299	2541143
2540398	2542538
2540291	2540659
2538908	2542928
2540392	2540415
2541050	2541050
2540112	2541030
2541193	2542258
2539560	2542854
2541916	3361532
2540013	2540470
2541531	2542678
2539939	3361521
2541531	2541649
2539806	2543254
2540552	2540552
2540051	2541738
2540063	2541531
2541776	2541776
2539560	2540936
2541323	2542249
2538843	2540801
2542669	2908
2540682	2541349
2539894	2541531
2538762	2539804
2538769	2541202
2539102	2541675
2540186	2542256
2538997	2541813
2543621	2908
2540057	2541168
2541220	2541633
2540316	2542885
2538994	2541735
2540244	2541213
2541461	2543583
2541813	2542599
2539395	2540753
2539661	2908
2540350	2541133
2542001	2543254
2541941	2542731
2540273	2541531
2541150	2542173
2542128	2543646
2541326	2543042
2539050	2539420
2539847	2542290
2540753	2542837
2540236	2541972
2539938	2542347
2539560	2539863
2540003	2543058
2542259	5802965
2539958	2543642
2541531	2543531
2541531	2543409
2540109	2541268
2539149	2542746
2542869	3361384
2538930	2540902
2539914	2543108
2540667	2540690
2542444	2542619
2541165	2543281
2540291	2541813
3361128	3361128
2539122	2540175
2539009	2539875
2541531	2542854
2539047	2540649
2540788	2540929
2541957	2542409
2540409	2542959
2539560	2542799
2538816	2540292
2540159	2543042
2541143	2541531
2542253	2542567
2539225	2540564
2539489	2908
2539050	2541897
2543618	2908
2540193	2541020
2540330	2540711
2539794	2542097
2541270	3361036
2539730	2539823
2539481	2540426
2539481	2541914
2541456	3361342
2539414	2542258
2541268	2541805
2541264	2543409
2539785	2540462
2539423	2543290
2540691	2542256
2542256	2542910
2541585	2541897
2538838	2539838
2540013	2541159
2540622	2541143
2539407	2542129
2540291	2542684
2541143	2541729
2543254	2543583
2541089	2543412
2538994	2541213
2539838	3361526
2539558	2539958
2541318	2541710
2542936	3361526
2539016	2543441
2540057	2541466
2542080	2542404
2540330	2542461
2540070	2542689
2540927	2542496
2542540	2543058
2538848	2539242
2542352	3361269
2540258	3361261
2540027	852990
2542907	2543233
2543205	2543646
2538891	2543042
2540604	2541531
2539285	2908
2539560	2540523
2538910	2538910
2538829	2543042
2540611	2543254
2541143	2543648
2539950	2539950
2539027	2541652
2540128	2542744
2541143	2541619
2539560	2542701
2543218	3361521
2540998	2541585
2540412	2541813
2539838	2543580
2541087	2908
2542531	2543019
2538787	2543671
2540291	2542015
2542193	2543516
2540219	2541284
2540213	2908
2539958	5802905
2539253	2541531
2540992	2542226
2540128	2541927
2541094	2541213
2542649	2543170
2540841	2543013
1022	2542112
2540461	2908
2539985	2541813
2539794	2542225
2539299	2543687
2540720	2542080
2539958	2542325
2540585	2542910
2543475	2908
2543337	3361384
2541531	2542013
2539360	2539513
2538736	2542358
2538846	2543058
2539242	2539242
2541300	2908
2541446	2542097
2538877	2543042
2541603	2541975
2541143	2542258
2538781	2539481
2539636	2541531
2541143	2541910
2541633	2542071
2540439	2542733
2540833	2541818
2540291	2542744
2540128	2540900
2540057	2540691
2542002	5802954
2539847	2542171
2543058	2543517
2542358	5802726
2539388	2541531
2539694	2541942
2538988	2541168
2543421	2543421
2541635	2542173
2539189	2908
2539345	2540927
2539560	2543668
2541531	2542701
2540398	2541303
2541762	2542139
2540711	2541168
2541117	2543460
2542438	3361204
2540234	2541424
2539848	2908
2541050	2541531
2542985	2543517
2539401	2543058
2540766	3361404
2540927	2542721
2539631	2541184
